,pyname,name,range
0,a_filter_2_subtype,A Filter 2 Subtype,"(None, None, None)"
1,b_lfo_4_deform,B LFO 4 Deform,"(-100.0, 100.0, 0.2)"
2,fx_g2_param_7,FX G2 Param 7,"(None, None, None)"
3,a_noise_route,A Noise Route,"(None, None, None)"
4,fx_s4_param_9,FX S4 Param 9,"(None, None, None)"
5,b_lfo_5_attack,B LFO 5 Attack,"(None, None, None)"
6,b_scene_lfo_3_unipolar,B Scene LFO 3 Unipolar,"(False, True, 1)"
7,fx_g2_param_3,FX G2 Param 3,"(None, None, None)"
8,b_lfo_5_phase,B LFO 5 Phase,"(0.0, 100.0, 0.1)"
9,b_lfo_6_attack,B LFO 6 Attack,"(None, None, None)"
10,b_filter_eg_decay_shape,B Filter EG Decay Shape,"(None, None, None)"
11,fx_a2_param_5,FX A2 Param 5,"(None, None, None)"
12,fx_b3_param_10,FX B3 Param 10,"(None, None, None)"
13,fx_a3_param_2,FX A3 Param 2,"(None, None, None)"
14,fx_b3_param_4,FX B3 Param 4,"(None, None, None)"
15,b_noise_route,B Noise Route,"(None, None, None)"
16,fx_b1_param_12,FX B1 Param 12,"(None, None, None)"
17,fx_b2_param_5,FX B2 Param 5,"(None, None, None)"
18,b_filter_2_keytrack,B Filter 2 Keytrack,"(-100.0, 100.0, 0.2)"
19,fx_a4_param_6,FX A4 Param 6,"(None, None, None)"
20,a_scene_lfo_4_rate,A Scene LFO 4 Rate,"(0.008, 512.0, None)"
21,a_filter_2_resonance,A Filter 2 Resonance,"(0.0, 100.0, 0.1)"
22,a_scene_lfo_1_hold,A Scene LFO 1 Hold,"(None, None, None)"
23,a_lfo_6_unipolar,A LFO 6 Unipolar,"(False, True, 1)"
24,active_scene,Active Scene,"(0.0, 1.0, 1.0)"
25,fx_s3_param_1,FX S3 Param 1,"(None, None, None)"
26,fx_a1_fx_type,FX A1 FX Type,"(None, None, None)"
27,a_lfo_5_release,A LFO 5 Release,"(None, None, None)"
28,a_scene_lfo_1_phase,A Scene LFO 1 Phase,"(0.0, 100.0, 0.1)"
29,fx_g1_param_10,FX G1 Param 10,"(None, None, None)"
30,fx_a4_param_3,FX A4 Param 3,"(None, None, None)"
31,a_scene_lfo_6_hold,A Scene LFO 6 Hold,"(None, None, None)"
32,fx_b4_param_8,FX B4 Param 8,"(None, None, None)"
33,b_scene_lfo_5_hold,B Scene LFO 5 Hold,"(None, None, None)"
34,a_scene_lfo_4_attack,A Scene LFO 4 Attack,"(None, None, None)"
35,b_osc_3_retrigger,B Osc 3 Retrigger,"(False, True, 1)"
36,a_osc_3_sync,A Osc 3 Sync,"(None, None, None)"
37,fx_s4_param_10,FX S4 Param 10,"(None, None, None)"
38,b_filter_2_offset_mode,B Filter 2 Offset Mode,"(False, True, 1)"
39,fx_s1_param_10,FX S1 Param 10,"(None, None, None)"
40,b_osc_1_width_2,B Osc 1 Width 2,"(0.0, 100.0, 0.1)"
41,fx_b2_param_3,FX B2 Param 3,"(None, None, None)"
42,fx_a4_param_9,FX A4 Param 9,"(None, None, None)"
43,a_osc_3_width_1,A Osc 3 Width 1,"(0.0, 100.0, 0.1)"
44,a_link_resonance,A Link Resonance,"(False, True, 1)"
45,a_lfo_3_release,A LFO 3 Release,"(None, None, None)"
46,a_osc_1_unison_detune,A Osc 1 Unison Detune,"(None, None, None)"
47,a_amp_eg_decay,A Amp EG Decay,"(None, None, None)"
48,fx_a2_fx_type,FX A2 FX Type,"(None, None, None)"
49,a_osc_2_width_2,A Osc 2 Width 2,"(0.0, 100.0, 0.1)"
50,b_osc_1_volume,B Osc 1 Volume,"(-inf, 0.0, None)"
51,b_scene_lfo_4_hold,B Scene LFO 4 Hold,"(None, None, None)"
52,a_lfo_3_decay,A LFO 3 Decay,"(None, None, None)"
53,fx_a3_param_1,FX A3 Param 1,"(None, None, None)"
54,b_scene_lfo_2_decay,B Scene LFO 2 Decay,"(None, None, None)"
55,b_scene_lfo_6_type,B Scene LFO 6 Type,"(None, None, None)"
56,b_scene_lfo_4_unipolar,B Scene LFO 4 Unipolar,"(False, True, 1)"
57,fx_s3_param_9,FX S3 Param 9,"(None, None, None)"
58,fx_b2_param_2,FX B2 Param 2,"(None, None, None)"
59,b_scene_lfo_2_release,B Scene LFO 2 Release,"(None, None, None)"
60,b_lfo_5_sustain,B LFO 5 Sustain,"(0.0, 100.0, 0.1)"
61,b_filter_2_cutoff,B Filter 2 Cutoff,"(13.75, 25087.71, None)"
62,b_osc_3_sync,B Osc 3 Sync,"(None, None, None)"
63,a_lfo_6_release,A LFO 6 Release,"(None, None, None)"
64,a_scene_lfo_6_attack,A Scene LFO 6 Attack,"(None, None, None)"
65,fx_s3_param_3,FX S3 Param 3,"(None, None, None)"
66,b_lfo_2_deform,B LFO 2 Deform,"(-100.0, 100.0, 0.2)"
67,b_osc_1_unison_detune,B Osc 1 Unison Detune,"(None, None, None)"
68,a_waveshaper_type,A Waveshaper Type,"(None, None, None)"
69,a_amp_eg_sustain,A Amp EG Sustain,"(0.0, 100.0, 0.1)"
70,a_scene_lfo_3_unipolar,A Scene LFO 3 Unipolar,"(False, True, 1)"
71,fx_a3_param_4,FX A3 Param 4,"(None, None, None)"
72,fx_b3_param_12,FX B3 Param 12,"(None, None, None)"
73,b_lfo_6_rate,B LFO 6 Rate,"(0.008, 512.0, None)"
74,a_lfo_3_amplitude,A LFO 3 Amplitude,"(0.0, 100.0, 0.1)"
75,a_scene_lfo_3_trigger_mode,A Scene LFO 3 Trigger Mode,"(None, None, None)"
76,a_ring_modulation_1x2_mute,A Ring Modulation 1x2 Mute,"(False, True, 1)"
77,fx_a2_param_10,FX A2 Param 10,"(None, None, None)"
78,a_scene_lfo_2_deform,A Scene LFO 2 Deform,"(-100.0, 100.0, 0.2)"
79,fx_s3_param_6,FX S3 Param 6,"(None, None, None)"
80,b_lfo_3_sustain,B LFO 3 Sustain,"(0.0, 100.0, 0.1)"
81,fx_a4_param_12,FX A4 Param 12,"(None, None, None)"
82,fx_a3_param_11,FX A3 Param 11,"(None, None, None)"
83,a_lfo_1_sustain,A LFO 1 Sustain,"(0.0, 100.0, 0.1)"
84,a_lfo_3_delay,A LFO 3 Delay,"(None, None, None)"
85,a_scene_lfo_2_trigger_mode,A Scene LFO 2 Trigger Mode,"(None, None, None)"
86,a_scene_lfo_5_deform,A Scene LFO 5 Deform,"(-100.0, 100.0, 0.2)"
87,b_filter_1_resonance,B Filter 1 Resonance,"(0.0, 100.0, 0.1)"
88,fx_s2_param_12,FX S2 Param 12,"(None, None, None)"
89,m8,M8: -,"(0.0, 0.0, None)"
